Targa2,Euro 0,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Elettrico
GK,0.00054876527812422,0.000149663257670242,0.000947867298578199,0.00199551010226989,0.00982788725367922,0.00778248939885258,0.964479920179596,0.0142678972312297
GL,0.00140019897564391,0.000294778731714507,0.00132650429271528,0.00254246656103762,0.0133387376100814,0.0254615129518405,0.925568370242087,0.0300674306348797
GM,0.000398295296132553,7.96590592265105E-05,0.000438124825745808,0.00123471541801091,0.0072091448599992,0.00920062134066197,0.960449277094037,0.0209901621061855
GN,0.000704132376886855,0.000176033094221714,0.000594111692998284,0.00118822338599657,0.00776746028253312,0.00979184086608282,0.960788628262113,0.0189895700391674
GP,0.000311782545846206,0.000170063206825203,0.000595221223888212,0.00218247782092344,0.0102037924095122,0.012301238627023,0.952694084634789,0.0215413395311924
GR,0.000213340918788224,0,0.000142227279192149,0.000284454558384298,0.00113781823353719,0.00106670459394112,0.961740861897312,0.0354145925188451
GS,0.000383141762452107,0.00028735632183908,0.000191570881226054,0.000862068965517241,0.00306513409961686,0.0053639846743295,0.963888888888889,0.0259578544061303
GT,0,0,0,0,0,0,1,0
YA,0,0,0,0,0,0.25,0.75,0
ZA,0.145164319248826,0.0270422535211268,0.218028169014085,0.416525821596244,0.0843192488262911,0.0967136150234742,0.012018779342723,0.000187793427230047
ZB,0.437100213219616,0.0383795309168444,0.0852878464818763,0.0767590618336887,0.0490405117270789,0.138592750533049,0.1727078891258,0.00213219616204691
